artist_ID	artist_name	genre_name	has_participated
3	Albert Carr	Rock	no
42	Andrew Hartman	Rock	no
2	Bradley Moore	Rock	no
43	Bryan Brown	Rock	no
20	Charles Johnson	Rock	no
4	Christopher Kemp	Rock	no
1	Cynthia Fox	Rock	no
40	Jaime Potter	Rock	no
26	Jennifer Holt	Rock	no
23	Julia Lane	Rock	no
48	Julian Stone	Rock	no
5	Kathryn Hughes	Rock	no
49	Kenneth Johnson	Rock	no
28	Lauren Shelton	Rock	no
50	Leslie Dixon	Rock	no
7	Michael Calhoun	Rock	no
36	Michael Stephens	Rock	no
22	Miss Kimberly Williams	Rock	no
44	Sandra Wilson	Rock	no
15	Tanya Jensen	Rock	no
